id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
67;27205;Inception;['Action', 'Science Fiction', 'Adventure'];116;2010;148;['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe'];[];[263439, 429144, 24527]
76;578;Jaws;['Horror', 'Thriller', 'Adventure'];59;1975;124;['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss'];[];[263341, 22584, 22733]
63;10191;How to Train Your Dragon;['Fantasy', 'Adventure', 'Animation'];239;2010;98;['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson'];[];[572488, 6470, 6473]
127;424;Schindler's List;['Drama', 'History', 'War'];84;1993;195;['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes'];[];[252707, 578265, 11532]
32;15;Citizen Kane;['Mystery', 'Drama'];26;1941;119;['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore'];[];[22618, 22689, 22734]
62;205;Hotel Rwanda;['Drama', 'History', 'War'];21;2004;121;['Don Cheadle', 'Sophie Okonedo', 'Nick Nolte'];[];[6468, 6536, 6538]
150;2503;The Bourne Ultimatum;['Action', 'Drama', 'Mystery'];30;2007;115;['Matt Damon', 'Julia Stiles', 'David Strathairn'];[];[263341, 263371, 427821]
25;78;Blade Runner;['Science Fiction', 'Drama', 'Thriller'];57;1982;118;['Harrison Ford', 'Rutger Hauer', 'Sean Young'];[];[11535, 11542, 11549]
24;44214;Black Swan;['Drama', 'Thriller', 'Horror'];52;2010;109;['Natalie Portman', 'Mila Kunis', 'Vincent Cassel'];[];[263393, 1093237, 22617]
11;14;American Beauty;['Drama'];38;1999;122;['Kevin Spacey', 'Annette Bening', 'Thora Birch'];[];[911684, 572523, 409502]
26;197;Braveheart;['Action', 'Drama', 'History'];55;1995;177;['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau'];[];[588909, 22638, 22683]
5;185;A Clockwork Orange;['Science Fiction', 'Crime'];35;1971;137;['Malcolm McDowell', 'Patrick Magee', 'Carl Duering'];[];[11535, 11542, 11549]
151;826;The Bridge on the River Kwai;['Drama', 'History', 'War'];23;1957;161;['William Holden', 'Alec Guinness', 'Jack Hawkins'];[];[911598, 572488, 736285]
160;37247;The Graduate;['Drama', 'Romance', 'Comedy'];27;1967;106;['Anne Bancroft', 'Dustin Hoffman', 'Katharine Ross'];[];[1082942, 11545, 11567]
8;705;All About Eve;['Drama'];13;1950;139;['Bette Davis', 'Anne Baxter', 'George Sanders'];[];[38, 70, 99]
1;389;12 Angry Men;['Drama'];58;1957;97;['Martin Balsam', 'John Fiedler', 'Lee J. Cobb'];[];[6468, 6536, 8923]
84;832;M - Eine Stadt sucht einen Mörder;['Drama', 'Thriller', 'Crime'];14;1931;111;['Peter Lorre', 'Ellen Widmann', 'Inge Landgut'];[];[252697, 11549, 11592]
12;73;American History X;['Drama'];37;1998;119;"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]";[];[263381, 263393, 427882]
14;93;Anatomy of a Murder;['Crime', 'Drama', 'Mystery'];23;1959;161;['James Stewart', 'Lee Remick', 'Ben Gazzara'];[];[263336, 263341, 263371]
81;947;Lawrence of Arabia;['Adventure', 'History', 'War'];33;1962;228;"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']";[];[11532, 11576, 11620]
149;910;The Big Sleep;['Mystery', 'Crime', 'Thriller'];20;1946;114;['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely'];[];[1077257, 6479, 6521]
168;247;The Killing;['Crime', 'Thriller'];11;1956;85;['Sterling Hayden', 'Coleen Gray', 'Vince Edwards'];[];[263336, 263339, 929183]
163;5925;The Great Escape;['Adventure', 'Drama', 'War'];31;1963;173;['Steve McQueen', 'James Garner', 'Richard Attenborough'];[];[263341, 263345, 263371]
172;963;The Maltese Falcon;['Mystery', 'Crime', 'Thriller'];25;1941;100;['Humphrey Bogart', 'Mary Astor', 'Gladys George'];[];[6479, 6536, 8954]
169;45269;The King's Speech;['Drama', 'History'];25;2010;118;['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter'];[];[409447, 409502, 6461]
164;497;The Green Mile;['Fantasy', 'Drama', 'Crime'];113;1999;189;['Tom Hanks', 'David Morse', 'Bonnie Hunt'];[];[11559, 11560, 11596]
166;990;The Hustler;['Drama', 'Romance'];15;1961;134;['Paul Newman', 'Jackie Gleason', 'Piper Laurie'];[];[263341, 263371, 588962]
161;596;The Grapes of Wrath;['Drama'];13;1940;129;['Henry Fonda', 'Jane Darwell', 'John Carradine'];[];[11560, 11620, 416113]
167;10098;The Kid;['Comedy', 'Drama'];14;1921;68;['Charlie Chaplin', 'Jackie Coogan', 'Carl Miller'];[];[243629, 243690, 6399]
174;982;The Manchurian Candidate;['Thriller', 'Drama'];19;1962;126;['Frank Sinatra', 'Laurence Harvey', 'Angela Lansbury'];[];[11549, 13188, 13321]
